onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.123	17.876	sharingrating1	23.105	3	2	R	1
29.172	17.873	sharingrating1	47.155	3	35	F	1
52.688	17.859	sharingrating1	70.654	3	98	R	3
76.754	17.895	sharingrating1	94.753	3	117	R	6
99.737	17.887	sharingrating1	117.719	3	68	F	6
122.336	17.888	sharingrating1	140.319	3	51	F	4
145.519	17.886	sharingrating1	163.501	3	7	R	5
169.401	17.899	sharingrating1	187.384	3	122	F	6
192.284	17.885	sharingrating1	210.267	3	97	R	4
215.483	17.903	sharingrating1	233.483	3	120	R	4
239.382	17.882	sharingrating1	257.365	3	17	R	4
261.932	17.884	sharingrating1	279.915	3	22	R	4
284.465	17.902	sharingrating1	302.464	3	132	F	6
307.864	17.884	sharingrating1	325.847	3	111	R	5
330.463	17.886	sharingrating1	348.446	3	129	F	6
353.779	17.881	sharingrating1	371.762	3	29	R	6
376.979	17.915	sharingrating1	394.995	3	87	F	1
400.428	17.896	sharingrating1	418.427	3	78	F	6
423.81	17.891	sharingrating1	441.793	3	19	R	4
445.893	17.906	sharingrating1	463.893	3	40	F	5
468.776	17.886	sharingrating1	486.759	3	8	R	4
491.775	17.903	sharingrating1	509.775	3	67	F	3
514.674	17.898	sharingrating1	532.674	3	13	R	2
537.224	17.888	sharingrating1	555.223	3	50	F	4
560.49	17.896	sharingrating1	578.489	3	43	F	2
583.156	17.894	sharingrating1	601.155	3	83	F	5
605.705	17.903	sharingrating1	623.705	3	109	R	4
629.554	17.906	sharingrating1	647.554	3	23	R	6
651.87	17.892	sharingrating1	669.853	3	37	F	1
675.603	17.889	sharingrating1	693.586	3	18	R	5
698.586	17.903	sharingrating1	716.585	3	42	F	5
721.735	17.899	sharingrating1	739.734	3	110	R	4
744.384	17.897	sharingrating1	762.384	3	21	R	3
768.017	17.9	sharingrating1	786.016	3	71	F	4
791.333	17.896	sharingrating1	809.332	3	11	R	6
814.516	17.898	sharingrating1	832.515	3	49	F	5
837.698	17.909	sharingrating1	855.698	3	133	F	1
860.264	17.901	sharingrating1	878.264	3	93	R	6
883.397	17.906	sharingrating1	901.396	3	130	F	6
905.996	17.898	sharingrating1	923.996	3	123	F	6
936.529	17.899	accuracyrating	954.528	3	70	F	1
960.061	17.892	accuracyrating	978.044	3	1	R	3
982.794	17.902	accuracyrating	1000.793	3	79	F	5
1006.193	17.882	accuracyrating	1024.176	3	25	R	6
1029.643	17.899	accuracyrating	1047.642	3	15	R	6
1053.175	17.909	accuracyrating	1071.175	3	96	R	6
1075.508	17.905	accuracyrating	1093.508	3	47	F	6
1099.141	17.899	accuracyrating	1117.14	3	31	F	6
1122.59	17.903	accuracyrating	1140.589	3	26	R	6
1145.906	17.904	accuracyrating	1163.905	3	38	F	4
1169.039	17.897	accuracyrating	1187.038	3	64	F	2
1191.605	17.89	accuracyrating	1209.604	3	95	R	4
1214.121	17.89	accuracyrating	1232.12	3	32	F	4
1237.003	17.908	accuracyrating	1255.003	3	86	F	6
1259.936	17.888	accuracyrating	1277.935	3	55	F	3
1282.835	17.897	accuracyrating	1300.835	3	81	F	6
1305.401	17.894	accuracyrating	1323.401	3	106	R	6
1328.651	17.901	accuracyrating	1346.65	3	12	R	6
1351.433	17.903	accuracyrating	1369.433	3	4	R	6
1375.216	17.907	accuracyrating	1393.232	3	9	R	6
1406.315	17.904	sharingrating2	1424.314	3	41	F	6
1429.581	17.895	sharingrating2	1447.58	3	45	F	6
1453.514	17.898	sharingrating2	1471.513	3	30	R	2
1477.263	17.91	sharingrating2	1495.279	3	3	R	1
1500.312	17.894	sharingrating2	1518.312	3	65	F	6
1523.479	17.909	sharingrating2	1541.494	3	5	R	4
1546.844	17.863	sharingrating2	1564.827	3	99	R	5
1570.377	17.88	sharingrating2	1588.36	3	10	R	3
1593.876	17.888	sharingrating2	1611.859	3	88	F	5
1616.259	17.899	sharingrating2	1634.242	3	66	F	5
1639.725	17.886	sharingrating2	1657.708	3	73	F	6
1662.724	17.91	sharingrating2	1680.724	3	6	R	6
1685.39	17.891	sharingrating2	1703.39	3	14	R	6
1708.223	17.896	sharingrating2	1726.206	3	20	R	6
1731.205	17.89	sharingrating2	1749.188	3	69	F	5
1753.722	17.895	sharingrating2	1771.721	3	16	R	4
1777.071	17.895	sharingrating2	1795.07	3	34	F	4
1800.17	17.903	sharingrating2	1818.17	3	44	F	3
1822.82	17.903	sharingrating2	1840.819	3	39	F	3
1845.202	17.903	sharingrating2	1863.202	3	101	R	5
26.139	2.906	fixations	n/a	n/a	n/a	n/a	n/a
50.188	2.359	fixations	n/a	n/a	n/a	n/a	n/a
73.687	2.962	fixations	n/a	n/a	n/a	n/a	n/a
97.787	1.837	fixations	n/a	n/a	n/a	n/a	n/a
120.753	1.471	fixations	n/a	n/a	n/a	n/a	n/a
